epaie;moose;AcceptedRelations;12118108;
epaie;moose;RejectedEntity;579798;
epaie;moose;RejectedRelations;1734032;
epaie;northwind;AcceptedEntity;1903441;
epaie;northwind;AcceptedRelations;13805426;
epaie;northwind;RejectedEntity;3866;
epaie;northwind;RejectedRelations;46714;
epaie;petstore;AcceptedEntity;1672583;
epaie;petstore;AcceptedRelations;12854230;
epaie;petstore;RejectedEntity;234724;
epaie;petstore;RejectedRelations;997910;
moose;argo;AcceptedEntity;159542;
moose;argo;AcceptedRelations;1281852;
moose;argo;RejectedEntity;16815;
moose;argo;RejectedRelations;69590;
moose;calypso;AcceptedEntity;176354;
moose;calypso;AcceptedRelations;1351368;
moose;calypso;RejectedEntity;3;
moose;calypso;RejectedRelations;74;
moose;epaie;AcceptedEntity;158721;
moose;epaie;AcceptedRelations;1272160;
moose;epaie;RejectedEntity;17636;
moose;epaie;RejectedRelations;79282;
moose;moose;AcceptedEntity;176357;
moose;moose;AcceptedRelations;1351442;
moose;moose;RejectedEntity;0;
moose;moose;RejectedRelations;0;
moose;northwind;AcceptedEntity;158448;
moose;northwind;AcceptedRelations;1270060;
moose;northwind;RejectedEntity;17909;
moose;northwind;RejectedRelations;81382;
moose;petstore;AcceptedEntity;158600;
moose;petstore;AcceptedRelations;1275268;
moose;petstore;RejectedEntity;17757;
moose;petstore;RejectedRelations;76174;
northwind;argo;AcceptedEntity;30552;
northwind;argo;AcceptedRelations;440659;
northwind;argo;RejectedEntity;24017;
northwind;argo;RejectedRelations;155486;
northwind;calypso;AcceptedEntity;27822;
northwind;calypso;AcceptedRelations;418281;
northwind;calypso;RejectedEntity;26747;
northwind;calypso;RejectedRelations;177864;
northwind;epaie;AcceptedEntity;54477;
northwind;epaie;AcceptedRelations;595894;
northwind;epaie;RejectedEntity;92;
northwind;epaie;RejectedRelations;251;
northwind;moose;AcceptedEntity;27822;
northwind;moose;AcceptedRelations;418281;
northwind;moose;RejectedEntity;26747;
northwind;moose;RejectedRelations;177864;
northwind;northwind;AcceptedEntity;54569;
northwind;northwind;AcceptedRelations;596145;
northwind;northwind;RejectedEntity;0;
northwind;northwind;RejectedRelations;0;
northwind;petstore;AcceptedEntity;28837;
northwind;petstore;AcceptedRelations;435330;
northwind;petstore;RejectedEntity;25732;
northwind;petstore;RejectedRelations;160815;
petstore;argo;AcceptedEntity;10334;
petstore;argo;AcceptedRelations;82677;
petstore;argo;RejectedEntity;36;
petstore;argo;RejectedRelations;95;
petstore;calypso;AcceptedEntity;9316;
petstore;calypso;AcceptedRelations;77927;
petstore;calypso;RejectedEntity;1054;
petstore;calypso;RejectedRelations;4845;
petstore;epaie;AcceptedEntity;9662;
petstore;epaie;AcceptedRelations;78654;
petstore;epaie;RejectedEntity;708;
petstore;epaie;RejectedRelations;4118;
petstore;moose;AcceptedEntity;9316;
petstore;moose;AcceptedRelations;77927;
petstore;moose;RejectedEntity;1054;
petstore;moose;RejectedRelations;4845;
petstore;northwind;AcceptedEntity;9661;
petstore;northwind;AcceptedRelations;78674;
petstore;northwind;RejectedEntity;709;
petstore;northwind;RejectedRelations;4098;
petstore;petstore;AcceptedEntity;10370;
petstore;petstore;AcceptedRelations;82772;
petstore;petstore;RejectedEntity;0;
petstore;petstore;RejectedRelations;0;
