epaie;calypso;MOArtefactTypeReference;270;
epaie;calypso;MOForNext;341;
epaie;calypso;MOAlceQuery;1285;
epaie;calypso;MOStructure;40;
epaie;calypso;MOAlceFileLineInput;11;
epaie;epaie;name;epaie;
epaie;moose;MOAlceRedimVariable;293;
epaie;moose;MOConstantAttribute;1021;
epaie;moose;MOWhile;890;
epaie;moose;MOAlceFileRename;1;
epaie;moose;MOInfinityLoop;1;
epaie;moose;MODoUntil;93;
epaie;moose;MOArtefactReference;42;
epaie;moose;MOPrimitiveType;41;
epaie;moose;MOProject;18;
epaie;moose;MOFunction;2709;
epaie;moose;MOAlceExit;18983;
epaie;moose;MOEvent;19;
epaie;moose;MOLibrary;13;
epaie;moose;MOArrayAccess;45112;
epaie;moose;MOAlceResumeLabel;7628;
epaie;moose;name;moose;
epaie;moose;MOExternalFunction;99;
epaie;moose;MOFileDescriptorLiteral;83;
epaie;moose;MOCase;4271;
epaie;moose;MOAttributeAccessor;15938;
epaie;moose;MOClassProcedure;14639;
epaie;moose;MOAttributeAccess;102762;
epaie;moose;MOGoToLabel;3318;
epaie;moose;MOPrimitiveTypeReference;30;
epaie;moose;MONewInvocation;694;
epaie;moose;MOSelect;981;
epaie;moose;MOAlceOnErrorGoToLabel;16252;
epaie;moose;MOUnaryArithmeticOperation;10697;
epaie;moose;MOBinaryArithmeticOperation;152716;
epaie;moose;MOEnumEntry;5705;
epaie;moose;MOClassFunction;23527;
epaie;moose;MOReturnEmpty;96;
epaie;moose;MOAlceReport;531;
epaie;moose;MOAlceForm;1147;
epaie;moose;MOQueryAttribute;4144;
epaie;moose;MOAlceFileOpen;112;
epaie;moose;MOAlceFilePrintInto;1;
epaie;moose;MOAlceResume;7052;
epaie;moose;MOGlobalConstant;946;
epaie;moose;MOAlceGoSubLabel;190;
epaie;moose;MOIfElse;27263;
epaie;moose;MOConstantReference;39644;
epaie;moose;MOAlias;285;
epaie;moose;MOVariableAccessor;40;
epaie;moose;MOAlceTable;2303;
epaie;moose;MOSetToReturn;6179;
epaie;moose;MOProcedure;743;
epaie;moose;MOExternalProcedure;8;
epaie;moose;MOEnum;581;
epaie;moose;MOModule;426;
epaie;moose;MOAlceWith;271;
epaie;moose;MOLocalConstant;155;
epaie;moose;MOForEach;136;
epaie;moose;MONoOp;905;
epaie;moose;MOLabelReference;49329;
epaie;moose;MOColorLiteral;86;
epaie;moose;MODateLiteral;31;
epaie;moose;MOAlceOnErrorResumeNext;138;
epaie;moose;MODeclarationUnit;6532;
epaie;moose;MOAccess;1;
epaie;moose;MOArtefactTypeReference;270;
epaie;moose;MOForNext;341;
epaie;moose;MOAlceQuery;1285;
epaie;moose;MOStructure;40;
epaie;moose;MOAlceFileLineInput;11;
epaie;northwind;MOExternalProcedure;8;
epaie;northwind;MOAlceFileLineInput;11;
epaie;northwind;MOArtefactReference;42;
epaie;northwind;MOReturnEmpty;96;
epaie;northwind;MOAlceFilePrintInto;1;
epaie;northwind;MOAlceFileRename;1;
epaie;northwind;MOExternalFunction;99;
epaie;northwind;MOLocalConstant;155;
epaie;northwind;name;northwind;
epaie;northwind;MOAlceFileOpen;112;
epaie;northwind;MOConstantAttribute;1021;
epaie;northwind;MOAlceRedimVariable;293;
epaie;northwind;MOAlceGoSubLabel;190;
epaie;northwind;MOFloatLiteral;213;
epaie;northwind;MODoUntil;93;
epaie;northwind;MONoOp;905;
epaie;northwind;MOEvent;19;
epaie;northwind;MOInfinityLoop;1;
epaie;northwind;MOFileDescriptorLiteral;83;
epaie;northwind;MOForEach;136;
epaie;northwind;MOArtefactTypeReference;270;
epaie;northwind;MOColorLiteral;86;
epaie;northwind;MODateLiteral;31;
epaie;petstore;MOAlceRedimVariable;293;
epaie;petstore;MOConstantAttribute;1021;
epaie;petstore;MOAlceFileRename;1;
epaie;petstore;MOInfinityLoop;1;
epaie;petstore;MODoUntil;93;
epaie;petstore;MOArtefactReference;42;
epaie;petstore;MOProject;18;
epaie;petstore;MOGlobalVariable;1586;
epaie;petstore;MOFunction;2709;
epaie;petstore;MOAlceExit;18983;
epaie;petstore;MOEvent;19;
epaie;petstore;MOLibrary;13;
epaie;petstore;MOAlceResumeLabel;7628;
epaie;petstore;name;petstore;
epaie;petstore;MOExternalFunction;99;
epaie;petstore;MOFileDescriptorLiteral;83;
epaie;petstore;MOCase;4271;
epaie;petstore;MOClassFunction;23527;
epaie;petstore;MOAttributeAccessor;15938;
epaie;petstore;MOClassProcedure;14639;
epaie;petstore;MOReturnEmpty;96;
epaie;petstore;MOGoToLabel;3318;
epaie;petstore;MOFloatLiteral;213;
epaie;petstore;MOSelect;981;
epaie;petstore;MOAlceOnErrorGoToLabel;16252;
epaie;petstore;MOAlceReport;531;
epaie;petstore;MOAlceForm;1147;
epaie;petstore;MOEnumEntry;5705;
epaie;petstore;MOAlceFilePrintInto;1;
epaie;petstore;MOQueryAttribute;4144;
epaie;petstore;MOAlceFileOpen;112;
epaie;petstore;MOAlceResume;7052;
epaie;petstore;MOGlobalConstant;946;
epaie;petstore;MOAlceGoSubLabel;190;
epaie;petstore;MOAlias;285;
epaie;petstore;MOConstantReference;39644;
epaie;petstore;MOVariableAccessor;40;
epaie;petstore;MOAlceTable;2303;
epaie;petstore;MOSetToReturn;6179;
epaie;petstore;MOProcedure;743;
epaie;petstore;MOExternalProcedure;8;
epaie;petstore;MOEnum;581;
epaie;petstore;MOModule;426;
epaie;petstore;MOAlceWith;271;
epaie;petstore;MOLocalConstant;155;
epaie;petstore;MOLabelReference;49329;
epaie;petstore;MONoOp;905;
epaie;petstore;MOColorLiteral;86;
epaie;petstore;MODateLiteral;31;
epaie;petstore;MOAlceOnErrorResumeNext;138;
epaie;petstore;MOArtefactTypeReference;270;
epaie;petstore;MOAccess;1;
epaie;petstore;MOAlceQuery;1285;
epaie;petstore;MOForNext;341;
epaie;petstore;MOStructure;40;
epaie;petstore;MOAlceFileLineInput;11;
moose;argo;MOStPragma;461;
moose;argo;name;argo;
moose;argo;MOMetaClass;678;
moose;argo;MOThisContextReference;2;
moose;argo;MOStClass;678;
moose;argo;MOStBlockClosure;4944;
moose;argo;MOStMethod;7440;
moose;argo;MOPharo;1;
moose;argo;MOSharedVariable;17;
moose;argo;MOStArrayExpression;706;
moose;argo;MOSharedPoolReference;1;
moose;argo;MOStCascade;1353;
moose;argo;MOSuperReference;534;
moose;calypso;name;calypso;
moose;calypso;MOThisContextReference;2;
moose;calypso;MOSharedPoolReference;1;
moose;epaie;MOArrayLiteral;566;
moose;epaie;MOPackage;76;
moose;epaie;MOStPragma;461;
